cod_distr;grupo_ipvs;n_pessoas;n_domicilios;n_setor
355030838;Muito Alta Vulnerabilidade;24943;8669;72
355030839;Baixíssima Vulnerabilidade;2171;869;4
355030839;Muito Baixa Vulnerabilidade;47886;17200;90
355030839;Baixa Vulnerabilidade;10663;3713;21
355030839;Média Vulnerabilidade;3188;1054;6
355030839;Alta Vulnerabilidade;8104;2746;16
355030839;Muito Alta Vulnerabilidade;14354;4715;30
355030840;Baixíssima Vulnerabilidade;0;0;0
355030840;Muito Baixa Vulnerabilidade;19823;7429;45
355030840;Baixa Vulnerabilidade;3702;1359;7
355030840;Média Vulnerabilidade;0;0;0
355030840;Alta Vulnerabilidade;309;121;1
355030840;Muito Alta Vulnerabilidade;875;304;2
355030841;Baixíssima Vulnerabilidade;9669;3929;27
355030841;Muito Baixa Vulnerabilidade;18835;7580;52
355030841;Baixa Vulnerabilidade;7184;2928;19
355030841;Média Vulnerabilidade;3163;1082;9
355030841;Alta Vulnerabilidade;1714;528;4
355030841;Muito Alta Vulnerabilidade;14369;4887;23
355030842;Baixíssima Vulnerabilidade;555;199;2
355030842;Muito Baixa Vulnerabilidade;108704;38723;267
355030842;Baixa Vulnerabilidade;34275;12436;86
355030842;Média Vulnerabilidade;14806;5122;37
355030842;Alta Vulnerabilidade;18015;6255;45
355030842;Muito Alta Vulnerabilidade;32419;10851;78
355030843;Baixíssima Vulnerabilidade;0;0;0
355030843;Muito Baixa Vulnerabilidade;33783;12286;87
355030843;Baixa Vulnerabilidade;25714;9222;53
355030843;Média Vulnerabilidade;32544;12005;78
355030843;Alta Vulnerabilidade;99743;35585;201
355030843;Muito Alta Vulnerabilidade;116460;39737;264
355030844;Baixíssima Vulnerabilidade;0;0;0
355030844;Muito Baixa Vulnerabilidade;30992;10739;55
355030844;Baixa Vulnerabilidade;9989;3479;19
355030844;Média Vulnerabilidade;27441;9541;49
355030844;Alta Vulnerabilidade;27638;9498;49
355030844;Muito Alta Vulnerabilidade;32521;10698;64
355030845;Baixíssima Vulnerabilidade;79850;38817;321
355030845;Muito Baixa Vulnerabilidade;543;317;2
355030845;Baixa Vulnerabilidade;949;648;5
355030845;Média Vulnerabilidade;0;0;0
355030845;Alta Vulnerabilidade;0;0;0
355030845;Muito Alta Vulnerabilidade;0;0;0
355030846;Baixíssima Vulnerabilidade;3942;1389;7
355030846;Muito Baixa Vulnerabilidade;98280;36479;188
355030846;Baixa Vulnerabilidade;22647;8523;47
355030846;Média Vulnerabilidade;35186;12833;61
355030846;Alta Vulnerabilidade;44365;16330;85
355030846;Muito Alta Vulnerabilidade;52671;18264;136
355030847;Baixíssima Vulnerabilidade;0;0;0
355030847;Muito Baixa Vulnerabilidade;73027;26851;144
355030847;Baixa Vulnerabilidade;16276;5871;29
355030847;Média Vulnerabilidade;10751;3732;22
355030847;Alta Vulnerabilidade;14836;5023;31
355030847;Muito Alta Vulnerabilidade;12844;4057;30
355030848;Baixíssima Vulnerabilidade;53782;22643;148
355030848;Muito Baixa Vulnerabilidade;17411;7467;60
355030848;Baixa Vulnerabilidade;2544;1360;6
355030848;Média Vulnerabilidade;0;0;0
355030848;Alta Vulnerabilidade;0;0;0
355030848;Muito Alta Vulnerabilidade;908;304;2
355030849;Baixíssima Vulnerabilidade;29868;13387;80
355030849;Muito Baixa Vulnerabilidade;16121;7516;47
355030849;Baixa Vulnerabilidade;19226;10191;65
355030849;Média Vulnerabilidade;0;0;0
355030849;Alta Vulnerabilidade;0;0;0
355030849;Muito Alta Vulnerabilidade;0;0;0
355030850;Baixíssima Vulnerabilidade;1663;647;4
355030850;Muito Baixa Vulnerabilidade;63772;24409;122
355030850;Baixa Vulnerabilidade;9990;3870;19
355030850;Média Vulnerabilidade;1292;411;2
355030850;Alta Vulnerabilidade;2982;1039;6
355030850;Muito Alta Vulnerabilidade;2544;889;6
355030851;Baixíssima Vulnerabilidade;16615;6333;37
355030851;Muito Baixa Vulnerabilidade;69361;26686;147
355030851;Baixa Vulnerabilidade;11887;4598;25
355030851;Média Vulnerabilidade;2113;828;4
355030851;Alta Vulnerabilidade;1317;476;2
355030851;Muito Alta Vulnerabilidade;1550;539;4
355030852;Baixíssima Vulnerabilidade;0;0;0
355030852;Muito Baixa Vulnerabilidade;1096;387;6
355030852;Baixa Vulnerabilidade;0;0;0
355030852;Média Vulnerabilidade;4960;1780;21
355030852;Alta Vulnerabilidade;3430;1156;11
355030852;Muito Alta Vulnerabilidade;700;244;1
355030853;Baixíssima Vulnerabilidade;33528;12890;69
355030853;Muito Baixa Vulnerabilidade;36382;15000;85
355030853;Baixa Vulnerabilidade;9225;3872;21
355030853;Média Vulnerabilidade;0;0;0
355030853;Alta Vulnerabilidade;0;0;0
355030853;Muito Alta Vulnerabilidade;139;49;1
355030854;Baixíssima Vulnerabilidade;31630;14054;108
355030854;Muito Baixa Vulnerabilidade;1020;534;5
355030854;Baixa Vulnerabilidade;2648;1085;6
355030854;Média Vulnerabilidade;1593;554;3
355030854;Alta Vulnerabilidade;2938;1016;5
355030854;Muito Alta Vulnerabilidade;3333;1155;5
355030855;Baixíssima Vulnerabilidade;0;0;0
355030855;Muito Baixa Vulnerabilidade;17122;5831;49
355030855;Baixa Vulnerabilidade;9432;3204;25
355030855;Média Vulnerabilidade;33183;11280;77
355030855;Alta Vulnerabilidade;58936;20046;128
355030855;Muito Alta Vulnerabilidade;28098;9090;67
355030856;Baixíssima Vulnerabilidade;1864;693;5
355030856;Muito Baixa Vulnerabilidade;8726;2799;21
355030856;Baixa Vulnerabilidade;3322;1096;10
355030856;Média Vulnerabilidade;844;294;2
355030856;Alta Vulnerabilidade;1050;373;3
355030856;Muito Alta Vulnerabilidade;528;150;1
355030857;Baixíssima Vulnerabilidade;2449;835;4
355030857;Muito Baixa Vulnerabilidade;33625;11833;57
355030857;Baixa Vulnerabilidade;11940;4516;22
355030857;Média Vulnerabilidade;7475;2669;11
355030857;Alta Vulnerabilidade;6752;2423;11
355030857;Muito Alta Vulnerabilidade;11677;3873;25
355030858;Baixíssima Vulnerabilidade;0;0;0
355030858;Muito Baixa Vulnerabilidade;41062;14754;91
355030858;Baixa Vulnerabilidade;16470;5905;31
355030858;Média Vulnerabilidade;12439;4453;28
355030858;Alta Vulnerabilidade;26318;9025;49
355030858;Muito Alta Vulnerabilidade;65930;22538;150
355030859;Baixíssima Vulnerabilidade;3622;1422;10
355030859;Muito Baixa Vulnerabilidade;98184;37252;204
355030859;Baixa Vulnerabilidade;21206;8046;44
355030859;Média Vulnerabilidade;1092;402;2
355030859;Alta Vulnerabilidade;1143;380;2
355030859;Muito Alta Vulnerabilidade;6350;2165;16
355030860;Baixíssima Vulnerabilidade;92677;41854;319
355030860;Muito Baixa Vulnerabilidade;7689;3340;26
355030860;Baixa Vulnerabilidade;1559;923;9
